"﻿Punto","Este","Norte"
"668","809223,355","1512203,6"
"669","809220,334","1512199,95"
"670","809217,762","1512196,85"
"671","809217,662","1512196,7"
"672","809215,036","1512192,77"
"673","809213,236","1512190,08"
"674","809212,93","1512189,58"
"675","809212,711","1512189,18"
"676","809210,412","1512185,01"
"677","809208,613","1512181,74"
"678","809208,45","1512181,35"
"679","809206,613","1512177,02"
"680","809205,168","1512173,61"
"681","809204,987","1512173,05"
"682","809203,522","1512168,58"
"683","809202,486","1512165,41"
"684","809202,426","1512164,96"
"685","809201,805","1512160,28"
"686","809201,324","1512156,66"
"687","809201,291","1512156,45"
"688","809201,262","1512156,3"
"689","809201,053","1512155,3"
"690","809200,57","1512152,98"
"691","809200,258","1512150,96"
"692","809199,749","1512147,66"
"693","809199,684","1512146,73"
"694","809199,454","1512143,42"
"695","809199,428","1512143,04"
"696","809199,371","1512142,09"
"697","809199,304","1512141,53"
"698","809199,2","1512141,14"
"699","809199,192","1512140,57"
"700","809199,191","1512140,22"
"701","809199,193","1512140,06"
"702","809199,206","1512138,61"
"703","809199,255","1512136,61"
"704","809199,303","1512135,36"
"705","809199,308","1512135,25"
"706","809199,328","1512134,82"
"707","809199,435","1512132,98"
"708","809199,592","1512130,94"
"709","809199,604","1512130,73"
"710","809199,618","1512130,3"
"711","809199,621","1512130,13"
"712","809199,61","1512129,8"
"713","809199,603","1512129,69"
"714","809199,526","1512128,52"
"715","809199,674","1512127,12"
"716","809199,84","1512125,67"
"717","809199,872","1512125,1"
"718","809199,796","1512124,23"
"719","809199,571","1512123,39"
"720","809199,202","1512122,6"
"721","809198,949","1512122,24"
"722","809199","1512120,53"
"723","809199,016","1512120,35"
"724","809199,024","1512120,26"
"725","809199,142","1512118,98"
"726","809199,33","1512117,36"
"727","809199,586","1512115,68"
"728","809199,627","1512115,34"
"729","809199,636","1512115,22"
"730","809200,012","1512113,3"
"731","809200,284","1512111,96"
"732","809200,476","1512110,92"
"733","809200,494","1512110,83"
